672227/1000000  186363/250000  11509/20000  164201/200000
33043/125000  967263/1000000  -449287/500000  435053/1000000
272893/500000  420023/500000  -388181/500000  -156139/250000
242291/250000  258071/1000000  -476633/500000  150181/500000
-9728/15625  78369/100000  979749/1000000  105121/500000
472557/500000  328663/1000000  -872381/1000000  487111/1000000
-113557/125000  1037/2500  7879/8000  -89011/500000
58181/500000  -991581/1000000  50997/250000  -97717/100000
-777223/1000000  -31247/50000  10549/15625  -92037/125000
698877/1000000  -35803/50000  -191087/200000  -144027/500000
-111899/200000  -413109/500000  -466263/1000000  27681/31250
36077/50000  695299/1000000  -93831/100000  -4267/12500
70469/250000  -239117/250000  -601823/1000000  -793861/1000000
-991723/1000000  -110861/1000000  59707/250000  -485047/500000
405169/500000  118349/200000  487759/500000  -44769/200000
31489/62500  -431493/500000  -869729/1000000  -121729/250000
187593/200000  -347553/1000000  466811/500000  -89297/250000
347481/500000  -719719/1000000  36051/500000  1599/1600
-147303/200000  678781/1000000  -5983/25000  -485121/500000
-358517/1000000  -465181/500000  -994883/1000000  8881/100000
275071/1000000  192619/200000  117947/1000000  -123961/125000
-318259/1000000  -472227/500000  48667/125000  923139/1000000
-155679/250000  -778359/1000000  -18889/250000  499991/500000
965599/1000000  136457/500000  -498529/500000  51101/1000000
492643/500000  176817/1000000  -956763/1000000  -281161/1000000
-959477/1000000  -33929/125000  -197833/200000  138953/1000000
113379/125000  428749/1000000  -307209/1000000  -475021/500000
980019/1000000  -201703/1000000  -222931/500000  -222803/250000
880657/1000000  -59473/125000  -142863/250000  822491/1000000
-995609/1000000  -58473/1000000  11859/40000  -953899/1000000
-596063/1000000  -199977/250000  871943/1000000  -61057/125000
143569/1000000  991709/1000000  -241141/250000  -254701/1000000
992187/1000000  68507/500000  14733/50000  -119321/125000
51711/500000  -496339/500000  208063/500000  -909909/1000000
-98767/100000  148523/1000000  -56841/62500  -203489/500000
-303591/500000  -394937/500000  -172237/500000  940737/1000000
748067/1000000  166307/250000  401353/500000  -298769/500000
205907/1000000  -978033/1000000  4487/50000  -993241/1000000
185689/250000  673867/1000000  501239/500000  471/62500
498721/500000  -96133/1000000  31017/125000  973171/1000000
-18929/20000  -154727/500000  -196379/200000  178771/1000000
171741/500000  -939057/1000000  84523/125000  92983/125000
-380593/500000  -642889/1000000  -88501/100000  -458251/1000000
361767/500000  691963/1000000  178619/200000  91483/200000
92389/125000  -673851/1000000  -113349/125000  -83591/200000
-468097/1000000  -219783/250000  -498159/500000  22023/500000
-180097/1000000  -980249/1000000  -789279/1000000  614177/1000000
-218013/250000  -48541/100000  -323057/500000  765593/1000000
145267/200000  692659/1000000  -467931/500000  -6871/20000
15244/15625  -233067/1000000  -995071/1000000  -12069/125000
705157/1000000  1139/1600  250269/250000  4359/100000
-1953/200000  -199761/200000  93669/125000  -660849/1000000
500823/500000  13233/500000  73813/100000  21147/31250
-819997/1000000  -284549/500000  -179447/250000  -86731/125000
342843/1000000  -37497/40000  -228141/500000  890107/1000000
-119807/250000  87911/100000  -113739/200000  -102427/125000
-442343/500000  230927/500000  812049/1000000  587147/1000000
-957501/1000000  -276283/1000000  478739/1000000  -438709/500000
84123/100000  -270301/500000  -356571/500000  -696083/1000000
457321/500000  82613/200000  -240533/250000  -267123/1000000
-992027/1000000  60373/500000  92719/1000000  998013/1000000
450917/1000000  223689/250000  -97043/125000  125959/200000
-24423/125000  -48917/50000  977363/1000000  -227981/1000000
166261/250000  374797/500000  49769/50000  60979/500000
18279/125000  -247683/250000  -554553/1000000  207887/250000
-122533/125000  -182893/1000000  -79849/125000  -190881/250000
110711/200000  417657/500000  200433/200000  6187/200000
-179041/250000  70047/100000  154103/500000  951627/1000000
322423/1000000  -11823/12500  1083/2500  3621/4000
455893/500000  -26067/62500  -140939/200000  -35283/50000
164197/250000  47333/62500  71011/125000  -411343/500000
185809/250000  -671913/1000000  -53281/100000  846989/1000000
-654621/1000000  -375753/500000  -193797/200000  246319/1000000
-28629/250000  496783/500000  -460477/500000  386563/1000000
-94377/125000  -325561/500000  742283/1000000  134657/200000
-956171/1000000  -4393/15625  -465727/500000  -357331/1000000
-27731/62500  897851/1000000  17019/62500  -962729/1000000
-15811/40000  229811/250000  14647/31250  444211/500000
-701863/1000000  177659/250000  839957/1000000  137079/250000
-438189/500000  240297/500000  94487/100000  164879/500000
780733/1000000  -125469/200000  -462633/500000  19047/50000
472063/1000000  884709/1000000  -51001/500000  199149/200000
500267/1000000  -108197/125000  39741/1000000  1003029/1000000
745041/1000000  -667747/1000000  -9293/12500  -133247/200000
195723/200000  -108239/500000  -376403/1000000  929331/1000000
392727/500000  622541/1000000  967321/1000000  252439/1000000
-967337/1000000  25261/100000  -167431/250000  185803/250000
-805911/1000000  -294127/500000  -177269/1000000  -980733/1000000
-149283/250000  160689/200000  -17377/20000  -245139/500000
106453/125000  528199/1000000  915841/1000000  -204491/500000
1004311/1000000  16149/1000000  200687/200000  -7429/500000
-908683/1000000  -25449/62500  -75469/1000000  -497703/500000
45991/50000  -391533/1000000  -731/10000  -15529/15625
664577/1000000  749877/1000000  -20543/500000  15651/15625
152019/250000  -794799/1000000  358329/500000  703057/1000000
247131/250000  -41549/250000  -379479/500000  162619/250000
-398481/500000  121109/200000  246307/250000  179393/1000000
-241007/250000  -51709/200000  970761/1000000  -49077/200000
-876243/1000000  119723/250000  500379/500000  -2171/1000000
1002027/1000000  -2767/100000  -978193/1000000  -23959/125000
-30657/125000  -483393/500000  98627/1000000  498149/500000
199999/500000  229641/250000  -159711/200000  120031/200000
-1753/2000  -477599/1000000  -45957/200000  -486167/500000
-493561/500000  -143623/1000000  -74053/100000  335677/500000
935391/1000000  45403/125000  45329/200000  976529/1000000
29331/250000  -990199/1000000  -351293/500000  713889/1000000
753831/1000000  -656971/1000000  -189021/200000  -12439/40000
-68139/125000  -208677/250000  42211/250000  -6149/6250
657641/1000000  -753099/1000000  -909021/1000000  -412081/1000000
-987673/1000000  -71133/500000  -807221/1000000  73449/125000
159117/500000  237651/250000  236027/500000  -110321/125000
-203147/250000  -28911/50000  102937/1000000  -992549/1000000
218667/1000000  244569/250000  55399/62500  467161/1000000
-659743/1000000  -745741/1000000  671777/1000000  -74271/100000
-376983/1000000  231881/250000  7411/100000  99997/100000
-68941/1000000  -993661/1000000  332227/500000  37563/50000
-479831/500000  137601/500000  -195357/200000  -50663/250000
407059/1000000  915599/1000000  468713/500000  1409/4000
289509/1000000  -477151/500000  -730327/1000000  -677077/1000000
-67891/100000  -365537/500000  -451937/500000  -422159/1000000
7573/20000  -924469/1000000  964587/1000000  270887/1000000
344691/1000000  -468929/500000  -954661/1000000  292489/1000000
-961563/1000000  -65703/250000  466881/500000  -453/1250
101749/125000  293741/500000  -987553/1000000  72389/500000
-357131/500000  -348351/500000  -36791/62500  807993/1000000
79981/500000  99167/100000  -684687/1000000  729473/1000000
472089/500000  335307/1000000  19017/62500  -951743/1000000
439229/1000000  -13984/15625  240013/250000  293527/1000000
247251/250000  157583/1000000  -39617/200000  -488129/500000
-826053/1000000  -35063/62500  -890221/1000000  -450911/1000000
215047/250000  128509/250000  135339/500000  963819/1000000
-698177/1000000  718111/1000000  103833/1000000  -993081/1000000
-115023/125000  382717/1000000  -832793/1000000  -548201/1000000
-217211/250000  -491023/1000000  -76353/125000  197837/250000
-432381/500000  -49651/100000  1000281/1000000  76457/1000000
151913/200000  -649183/1000000  -993203/1000000  -44081/500000
-441631/1000000  -223537/250000  203821/250000  -578341/1000000
-497897/500000  -16459/200000  2409/20000  -30971/31250
-755649/1000000  -652487/1000000  -148691/200000  -82713/125000
-426589/500000  16223/31250  -143059/200000  697099/1000000
-23887/125000  -978657/1000000  40873/100000  914543/1000000
-490221/500000  -46091/250000  -862923/1000000  499997/1000000
608699/1000000  -198549/250000  861941/1000000  -509721/1000000
100733/200000  -863533/1000000  -56291/1000000  499551/500000
242447/1000000  -968373/1000000  -52069/125000  909593/1000000
-149199/250000  801569/1000000  85649/100000  -103343/200000
-249379/250000  -2797/200000  441989/500000  -470737/1000000
-498841/500000  6523/1000000  952627/1000000  -76113/250000
12459/12500  99491/1000000  187563/200000  -173897/500000
129551/200000  763529/1000000  -249751/250000  6707/500000
-199023/500000  918271/1000000  170291/200000  533133/1000000
-861487/1000000  251829/500000  -127189/1000000  -495579/500000
767029/1000000  -640253/1000000  199681/200000  -81771/1000000
-867767/1000000  123897/250000  39447/40000  -172579/1000000
-292931/500000  162107/200000  10663/12500  65831/125000
736559/1000000  679623/1000000  26069/250000  -49603/50000
124987/125000  77657/1000000  29957/1000000  500881/500000
-119251/200000  -31963/40000  149527/250000  803057/1000000
-12429/25000  -863383/1000000  1213/31250  -996677/1000000
-217197/250000  -60907/125000  322189/500000  191953/250000
-591147/1000000  -804161/1000000  -323239/1000000  948229/1000000
-992917/1000000  -14149/125000  -133771/200000  46509/62500
179797/250000  -5549/8000  -989747/1000000  -64333/500000
-26951/40000  185309/250000  -275359/1000000  963169/1000000
-11803/1000000  1001919/1000000  -766669/1000000  640617/1000000
-282103/1000000  120131/125000  60043/62500  -139791/500000
-925607/1000000  94121/250000  -985829/1000000  163739/1000000
14813/40000  -92821/100000  -847277/1000000  -526887/1000000
18383/40000  -444031/500000  323363/500000  767501/1000000
187333/250000  -660199/1000000  250349/250000  19543/1000000
-380317/500000  -161519/250000  109929/1000000  -99337/100000
-991633/1000000  99313/1000000  117997/500000  975021/1000000
-355991/500000  -700001/1000000  -90971/500000  -981461/1000000
-245587/250000  -10507/62500  -41779/500000  998643/1000000
142097/250000  -823647/1000000  499273/500000  -15033/250000
93547/500000  246187/250000  849/125000  -49823/50000
7287/250000  -199511/200000  -442867/500000  -459911/1000000
28259/50000  -411247/500000  407593/1000000  183187/200000
-15779/31250  -107609/125000  -822531/1000000  57003/100000
226963/250000  -424057/1000000  -195431/200000  204643/1000000
-417187/500000  274267/500000  436401/1000000  -224603/250000
-37047/1000000  -124811/125000  195451/250000  156727/250000
461969/500000  -76463/200000  887583/1000000  462671/1000000
906207/1000000  -424931/1000000  461769/1000000  -885833/1000000
377213/500000  664821/1000000  -37893/40000  -309723/1000000
-178073/1000000  -245859/250000  -412081/500000  17779/31250
992673/1000000  -135911/1000000  -80111/250000  -59153/62500
15901/20000  -60813/100000  -428119/500000  128499/250000
-154663/500000  953551/1000000  -214739/1000000  489609/500000
323543/500000  -75947/100000  199501/200000  56447/500000
1001031/1000000  -3/100000  -96137/200000  -872663/1000000
114157/125000  104599/250000  -997271/1000000  53173/1000000
-746861/1000000  -659627/1000000  337181/1000000  472661/500000
-12603/25000  -171543/200000  -139077/200000  -715327/1000000
-927129/1000000  -183307/500000  174223/250000  -143641/200000
239677/250000  73483/250000  -676503/1000000  -366389/500000
99967/100000  9831/500000  81463/100000  -18233/31250
-894231/1000000  111121/250000  -61453/62500  -33527/200000
73863/500000  24769/25000  381923/500000  -323673/500000
399491/500000  -301131/500000  -459299/500000  -389923/1000000
98577/1000000  997479/1000000  -572639/1000000  821531/1000000
591719/1000000  -403229/500000  793979/1000000  612231/1000000
-213337/1000000  -121897/125000  786111/1000000  -123779/200000
-6253/100000  -995927/1000000  -463021/1000000  888059/1000000
114901/500000  -970327/1000000  -976867/1000000  212287/1000000
-555649/1000000  415831/500000  79967/125000  -383967/500000
44277/500000  -994579/1000000  -29167/200000  496311/500000
-963969/1000000  259913/1000000  499181/500000  87643/1000000
70339/200000  -935101/1000000  -198679/200000  53787/500000
-75523/500000  -493443/500000  459973/500000  98739/250000
76463/100000  129851/200000  282921/1000000  192893/200000
-196757/200000  -41309/250000  -7833/50000  987321/1000000
-80291/1000000  499253/500000  -170473/1000000  493051/500000
942451/1000000  68869/200000  -63989/1000000  1000461/1000000
36269/500000  -497509/500000  382391/500000  -161223/250000
1567/100000  1001943/1000000  -46359/50000  1161/3125
843493/1000000  -21451/40000  -441831/1000000  -447799/500000
-224497/250000  -432073/1000000  50619/125000  -457537/500000
495547/500000  37317/250000  -187767/250000  -657601/1000000
932909/1000000  -73781/200000  -1611/2500  -761059/1000000
-384357/1000000  923611/1000000  39503/40000  169517/1000000
95141/250000  -23073/25000  -92947/100000  -363433/1000000
-116143/1000000  -495723/500000  971019/1000000  253081/1000000
-172447/500000  940077/1000000  -174123/500000  938149/1000000
-162153/250000  -30209/40000  -98013/125000  -123663/200000
997011/1000000  -44147/500000  413571/1000000  18267/20000
-48351/50000  -25151/100000  100563/125000  59573/100000
-5229/250000  250523/250000  -996431/1000000  -77469/1000000
-38927/125000  118873/125000  -122163/1000000  -495737/500000
-221051/500000  717/800  61149/62500  210377/1000000
3597/6250  10269/12500  4139/25000  247171/250000
-912389/1000000  -198999/500000  -352457/1000000  -9323/10000
33687/40000  21677/40000  -246123/250000  -38749/250000
1459/40000  -498191/500000  -835981/1000000  545369/1000000
-524803/1000000  852073/1000000  -876883/1000000  -237593/500000
-998339/1000000  11467/250000  992381/1000000  -131201/1000000
759633/1000000  -130469/200000  -21263/500000  -997219/1000000
-243203/250000  -222479/1000000  396323/500000  38387/62500
-245943/250000  172673/1000000  791319/1000000  -608493/1000000
-209/250000  -996043/1000000  -982723/1000000  21813/125000
484413/1000000  877707/1000000  151961/1000000  -197429/200000
-193491/250000  633161/1000000  42467/500000  -248871/250000
-30421/1000000  999291/1000000  953621/1000000  314771/1000000
37809/40000  -328011/1000000  172339/250000  -723159/1000000
-122483/125000  -196491/1000000  -492291/500000  76971/500000
-1721/4000  36121/40000  -488857/500000  197337/1000000
-943931/1000000  327201/1000000  753359/1000000  165269/250000
576743/1000000  822233/1000000  -25457/31250  -575159/1000000
957/5000  -979711/1000000  169917/200000  -530011/1000000
325933/1000000  -471453/500000  -228059/250000  -404777/1000000
939313/1000000  70637/200000  -495397/500000  131479/1000000
-423833/500000  -525337/1000000  491047/500000  -39063/200000
960393/1000000  -28203/100000  385377/500000  640357/1000000
197189/250000  -77119/125000  548559/1000000  840931/1000000
376949/500000  -163639/250000  495189/500000  71707/500000
-12091/12500  244089/1000000  -997773/1000000  -1623/1000000
-29121/500000  1000577/1000000  219493/250000  -59787/125000
198461/200000  -34259/250000  -6023/1000000  -498861/500000
-199661/200000  -1011/25000  122889/200000  -196653/250000
-372033/1000000  -463019/500000  -9301/1000000  1002361/1000000
-361523/1000000  467123/500000  3739/4000  90189/250000
-698399/1000000  713371/1000000  -142313/250000  -818827/1000000
-473339/500000  321831/1000000  126969/500000  -241047/250000
-16729/31250  -16841/20000  -337133/1000000  943101/1000000
66997/1000000  -198793/200000  747069/1000000  -665507/1000000
111651/200000  -414511/500000  613431/1000000  -790201/1000000
-345877/500000  28901/40000  153839/1000000  989497/1000000
-263617/500000  -84827/100000  -3763/6250  159951/200000
-998767/1000000  -2253/100000  -112389/500000  -972181/1000000
-55591/100000  831191/1000000  22757/200000  248413/250000
-805967/1000000  -291643/500000  408777/1000000  -911103/1000000
-749019/1000000  -657803/1000000  -474333/500000  157411/500000
52207/100000  -34123/40000  62323/250000  -15122/15625
-211889/250000  264953/500000  -823037/1000000  -561879/1000000
174933/250000  719427/1000000  -141/12500  -499029/500000
-487111/500000  11373/50000  49243/50000  183059/1000000
237833/500000  88237/100000  -23637/25000  12857/40000
-48349/1000000  499691/500000  -146087/500000  -59689/62500
260789/500000  -426217/500000  -671363/1000000  738583/1000000
60717/62500  -121937/500000  53629/62500  522567/1000000
-26351/500000  -994687/1000000  -24187/500000  999461/1000000
697053/1000000  -143191/200000  -963441/1000000  13613/50000
-195257/500000  230463/250000  58849/62500  34279/100000
459513/500000  16047/40000  -96889/100000  -236861/1000000
-382387/1000000  -921097/1000000  241917/250000  -51827/200000
11097/500000  -199883/200000  -149867/200000  331739/500000
22613/50000  893277/1000000  -250271/500000  -432051/500000
394407/1000000  -183579/200000  -2648/3125  -523337/1000000
-92353/200000  22259/25000  -412153/500000  -562073/1000000
957323/1000000  298903/1000000  150649/500000  23941/25000
970767/1000000  24929/100000  -904381/1000000  423811/1000000
-67409/250000  -480067/500000  180993/250000  -344783/500000
1001293/1000000  12279/200000  -388543/1000000  -458633/500000
-55457/100000  831949/1000000  -711/62500  -997311/1000000
95953/500000  982293/1000000  23829/25000  311329/1000000
336911/1000000  -941893/1000000  20191/1000000  500081/500000
-83719/200000  22759/25000  -4831/8000  24921/31250
217173/250000  124493/250000  470329/1000000  884701/1000000
-470549/1000000  35317/40000  -120011/250000  878531/1000000
60747/250000  972883/1000000  -26013/62500  36443/40000
935573/1000000  -89763/250000  123567/125000  -77541/500000
-376667/1000000  928699/1000000  -308451/500000  12308/15625
-495131/500000  122133/1000000  -421637/500000  -107097/200000
-911957/1000000  81951/200000  -999397/1000000  1247/50000
30133/125000  -967251/1000000  -240123/500000  87821/100000
-13489/50000  -960711/1000000  -984833/1000000  -158271/1000000
-459509/1000000  222213/250000  379409/500000  328131/500000
167513/1000000  -982987/1000000  -539401/1000000  42099/50000
673807/1000000  -11547/15625  212231/500000  -905667/1000000
354763/500000  -699667/1000000  -247721/250000  -109669/1000000
203963/250000  -580109/1000000  176997/200000  471317/1000000
-54731/250000  6111/6250  -255491/1000000  60461/62500
955071/1000000  303299/1000000  897023/1000000  -440749/1000000
105241/1000000  -993123/1000000  -190453/200000  300289/1000000
177717/250000  -351143/500000  97607/125000  -625001/1000000
-475943/1000000  17599/20000  -23799/100000  -241967/250000
-971161/1000000  114153/500000  -836613/1000000  -54299/100000
831409/1000000  -55837/100000  -301389/1000000  -118741/125000
288493/1000000  -956729/1000000  -361283/500000  69171/100000
-28239/100000  480437/500000  -17057/100000  -982321/1000000
-184289/200000  389581/1000000  517329/1000000  53727/62500
-917129/1000000  395759/1000000  -102757/125000  -564579/1000000
1001521/1000000  -31849/500000  854249/1000000  -130613/250000
295149/500000  406407/500000  -180431/500000  -930361/1000000
415573/500000  -2787/5000  -48247/50000  129299/500000
285009/500000  -411357/500000  984381/1000000  -187861/1000000
-53029/500000  -198699/200000  -244553/1000000  3033/3125
-34999/125000  960233/1000000  -90301/200000  894603/1000000
812499/1000000  294221/500000  199109/200000  -5109/50000
-71067/500000  -985693/1000000  -666103/1000000  744621/1000000
-996059/1000000  1239/31250  -6989/25000  480403/500000
123727/125000  -40329/250000  -115553/500000  243549/250000
17801/31250  -5131/6250  5539/100000  -995907/1000000
-703669/1000000  177249/250000  -5988/15625  -57539/62500
-123707/125000  -138973/1000000  14031/500000  500649/500000
-21501/50000  28251/31250  255149/1000000  485499/500000
26277/50000  853283/1000000  856021/1000000  -129271/250000
25531/125000  -976147/1000000  1002599/1000000  -31537/1000000
-29741/31250  304273/1000000  338327/1000000  943873/1000000
-400651/500000  -594899/1000000  35251/250000  992179/1000000
150791/250000  -797269/1000000  412637/1000000  -909761/1000000
49711/200000  -969017/1000000  21699/200000  996373/1000000
-10433/31250  -470619/500000  919337/1000000  12461/31250
-21197/125000  -491719/500000  121983/500000  243023/250000
-951189/1000000  306947/1000000  -977151/1000000  -100747/500000
-11852/15625  130499/200000  -74003/125000  160977/200000
64777/125000  -856871/1000000  -570167/1000000  -51001/62500
190687/200000  307703/1000000  192377/1000000  -15316/15625
4467/100000  -997801/1000000  -110773/125000  -455999/1000000
-411529/500000  -562291/1000000  -439611/500000  237131/500000
525513/1000000  -106347/125000  106153/125000  16707/31250
-234801/500000  176861/200000  665447/1000000  -148847/200000
127589/250000  -85979/100000  95409/125000  325229/500000
464807/500000  -186639/500000  -698419/1000000  -44661/62500
186247/1000000  246437/250000  85167/125000  4593/6250
64117/500000  496593/500000  -98457/100000  -3947/25000
1000143/1000000  1007/15625  -985053/1000000  42587/250000
901901/1000000  440087/1000000  464999/500000  14859/40000
-681321/1000000  730923/1000000  113403/125000  429343/1000000
231579/250000  -385763/1000000  -670647/1000000  -147263/200000
4317/1000000  125189/125000  -399473/500000  -597037/1000000
24977/1000000  1001357/1000000  -169807/250000  -731761/1000000
445401/1000000  449263/500000  913487/1000000  415349/1000000
612789/1000000  -790877/1000000  891/1000  460419/1000000
-423611/1000000  113413/125000  -499019/500000  756/15625
-964233/1000000  123619/500000  1000069/1000000  -65019/1000000
-382967/500000  128147/200000  2802/15625  986543/1000000
-985343/1000000  146557/1000000  -20511/31250  377253/500000
298327/1000000  59783/62500  6829/12500  -835563/1000000
30149/200000  -984801/1000000  366901/1000000  -185389/200000
58197/500000  995209/1000000  791893/1000000  307541/500000
-968141/1000000  61477/250000  988351/1000000  41621/250000
-73119/200000  -92713/100000  7217/125000  1000331/1000000
-199959/200000  -941/125000  475377/500000  -9911/31250
-986617/1000000  163209/1000000  738991/1000000  -67297/100000
32443/62500  85747/100000  934727/1000000  359823/1000000
194447/250000  -314691/500000  737209/1000000  -169201/250000
226423/250000  42833/100000  -388491/500000  125851/200000
-859101/1000000  511677/1000000  -992423/1000000  2669/25000
-1591/10000  -197021/200000  405591/500000  -586461/1000000
192519/500000  115557/125000  -8251/25000  946623/1000000
-837307/1000000  -541871/1000000  -709717/1000000  353163/500000
454057/500000  -26411/62500  -254323/1000000  485169/500000
-24773/125000  981203/1000000  -332503/500000  -148173/200000
-24487/40000  394269/500000  24879/25000  118541/1000000
365313/1000000  233181/250000  -905649/1000000  5293/12500
1003277/1000000  83/25000  43173/50000  -25323/50000
-188157/200000  -165389/500000  -498607/500000  -6783/250000
354579/1000000  468887/500000  383433/500000  -320999/500000
6749/250000  1002229/1000000  -993231/1000000  -106509/1000000
-309379/1000000  -59263/62500  -196649/200000  5501/31250
-959587/1000000  275787/1000000  1779/250000  200247/200000
100323/200000  -34571/40000  -99607/100000  -9833/250000
901539/1000000  -43439/100000  -662167/1000000  -373331/500000
915561/1000000  -101387/250000  -58897/500000  -991261/1000000
12487/125000  124457/125000  54033/200000  30199/31250
-1773/5000  187263/200000  393113/1000000  115313/125000
-993447/1000000  4879/50000  910663/1000000  -205719/500000
-242163/500000  175313/200000  -14664/15625  -335979/1000000
98289/100000  49399/250000  259213/500000  860241/1000000
-669651/1000000  -369517/500000  -841101/1000000  536539/1000000
368601/1000000  -463897/500000  856673/1000000  -516811/1000000
46221/125000  116433/125000  -770653/1000000  159107/250000
7079/10000  -141089/200000  308613/500000  197871/250000
932883/1000000  365319/1000000  -812771/1000000  -575739/1000000
-998009/1000000  18119/1000000  23203/25000  -74857/200000
944963/1000000  66607/200000  229847/250000  -392677/1000000
-132213/200000  748939/1000000  -24113/500000  100017/100000
989617/1000000  -159507/1000000  -371213/1000000  929703/1000000
905373/1000000  8651/20000  1691/4000  -453151/500000
-476679/500000  293111/1000000  127733/250000  -859841/1000000
998483/1000000  -1471/15625  992653/1000000  -13939/100000
27827/250000  -198429/200000  16441/20000  -35693/62500
-970343/1000000  -14341/62500  22811/40000  823363/1000000
235949/250000  -333759/1000000  -6989/200000  200379/200000
-54233/200000  481673/500000  -158/625  970149/1000000
-390841/500000  -77267/125000  547543/1000000  -104819/125000
234803/250000  21793/62500  -6661/100000  -995987/1000000
30721/62500  -217/250  -107291/500000  489299/500000
24839/50000  -433433/500000  -782431/1000000  623873/1000000
-769433/1000000  -635819/1000000  -124623/125000  39081/1000000
53773/125000  226597/250000  615439/1000000  -196579/250000
781221/1000000  -156601/250000  33129/62500  42547/50000
275737/1000000  964061/1000000  32879/50000  757447/1000000
-577213/1000000  81753/100000  -376329/500000  -130527/200000
166443/200000  558751/1000000  21079/62500  -470581/500000
500587/500000  5777/1000000  246193/250000  -3677/20000
986591/1000000  11113/62500  -168601/500000  235291/250000
117659/125000  -342071/1000000  283507/500000  82787/100000
589257/1000000  810251/1000000  -103557/125000  139693/250000
-347031/1000000  939393/1000000  -1749/4000  -447961/500000
-17069/250000  -24873/25000  -995391/1000000  -39993/1000000
495223/500000  38007/250000  81389/250000  -14744/15625
-968631/1000000  -118567/500000  92527/500000  492383/500000
841973/1000000  -539923/1000000  995129/1000000  115573/1000000
-99857/100000  12323/1000000  643931/1000000  -764049/1000000
-957467/1000000  -69233/250000  290539/1000000  -477861/500000
-281477/1000000  -239363/250000  970917/1000000  253749/1000000
31259/40000  627951/1000000  -869677/1000000  -490443/1000000
-29951/500000  -996821/1000000  15783/125000  993343/1000000
374857/1000000  -185387/200000  -995857/1000000  -62723/1000000
-396913/500000  -301871/500000  986103/1000000  -171437/1000000
-141843/250000  411409/500000  317699/500000  -386597/500000
497591/500000  -112709/1000000  -324489/1000000  189529/200000
94721/500000  983607/1000000  25691/40000  386277/500000
-288199/500000  -162181/200000  87541/1000000  999477/1000000
-932601/1000000  355323/1000000  -85719/500000  987299/1000000
125163/125000  -11537/200000  100423/200000  433883/500000
-988371/1000000  -31893/250000  -240093/500000  -875057/1000000
-34937/40000  243591/500000  253921/1000000  968891/1000000
329549/500000  -30041/40000  -284159/1000000  14998/15625
-499029/500000  -291/31250  118993/1000000  -99241/100000
644777/1000000  153611/200000  1000841/1000000  45213/1000000
971639/1000000  48971/200000  159381/250000  -768301/1000000
-106851/500000  978907/1000000  293999/500000  810977/1000000
-68283/125000  167657/200000  -92881/500000  98497/100000
-12289/125000  -248463/250000  -281671/1000000  239407/250000
250803/250000  17171/1000000  208449/250000  277683/500000
-925983/1000000  371283/1000000  496349/500000  1669/12500
-315943/500000  194013/250000  163247/1000000  -985873/1000000
10434/15625  -742829/1000000  -140641/200000  71077/100000
10917/1000000  250467/250000  9323/20000  442871/500000
-777883/1000000  626787/1000000  -124479/125000  -12531/250000
-974503/1000000  -10479/50000  -809249/1000000  294701/500000
-10213/250000  125119/125000  -335027/1000000  -938457/1000000
-535567/1000000  105813/125000  105297/500000  -244071/250000
-573643/1000000  819781/1000000  42539/500000  62477/62500
370119/500000  84623/125000  -470669/500000  6709/20000
-153417/500000  238501/250000  96249/125000  160107/250000
-239473/1000000  971899/1000000  401179/500000  75133/125000
450803/1000000  -891873/1000000  -149261/200000  -658463/1000000
683219/1000000  736367/1000000  -218549/1000000  977701/1000000
-996167/1000000  9411/200000  -87861/200000  -898897/1000000
231703/1000000  -486223/500000  160579/200000  150423/250000
-965527/1000000  256733/1000000  23121/25000  192611/500000
941959/1000000  -170487/500000  -94633/250000  -461543/500000
183407/200000  25501/62500  -314613/500000  -772999/1000000
400111/500000  301349/500000  -121819/500000  242699/250000
-463297/500000  -74253/200000  76809/250000  47709/50000
58643/125000  885293/1000000  614687/1000000  -393953/500000
488131/500000  -44849/200000  609149/1000000  398297/500000
-925817/1000000  -74239/200000  -390127/1000000  -919559/1000000
-60777/100000  -788007/1000000  235961/1000000  486981/500000
1003233/1000000  -28301/1000000  744437/1000000  670039/1000000
806391/1000000  597349/1000000  -383297/500000  -159297/250000
985083/1000000  -35973/200000  -9053/62500  495763/500000
365811/1000000  -465233/500000  1437/12500  198969/200000
382263/1000000  18551/20000  406659/500000  294197/500000
-946877/1000000  158671/500000  44927/250000  39497/40000
356413/500000  4421/6250  73857/200000  186551/200000
-203947/1000000  245141/250000  -25843/250000  -39711/40000
245109/250000  -102773/500000  -818583/1000000  -567673/1000000
6952/15625  179599/200000  1002967/1000000  17671/500000
432797/500000  504379/1000000  57677/1000000  1001139/1000000
-14191/250000  -199411/200000  -269279/500000  168677/200000
94573/1000000  998541/1000000  -853313/1000000  -13039/25000
-368861/500000  168461/250000  40857/100000  -22811/25000
9317/500000  100241/100000  -243239/500000  87537/100000
-31539/200000  -123143/125000  239621/500000  440331/500000
645343/1000000  768541/1000000  -75433/500000  -987399/1000000
254481/1000000  973121/1000000  107691/500000  -975899/1000000
-28069/50000  413779/500000  -822481/1000000  285613/500000
-247427/250000  -4963/40000  -597/2000  955657/1000000
-249677/250000  5221/500000  59349/100000  807967/1000000
-10007/15625  769357/1000000  -879571/1000000  471543/1000000
588419/1000000  -201793/250000  802157/1000000  -74699/125000
-417981/1000000  56859/62500  -117521/1000000  994769/1000000
-103277/200000  26801/31250  46323/62500  -42163/62500
