-306589/1000000  78907/200000
305741/1000000  99609/250000
-5149/62500  -492631/1000000
467741/1000000  90681/500000
109053/250000  15421/62500
397583/1000000  -38191/125000
827086367/1660900000  17243481/332180000
120059/250000  142209/1000000
152437/1000000  238173/500000
61841/125000  -83411/1000000
-224229/500000  -217393/1000000
-390373/1000000  -31003/100000
-29947/200000  476261/1000000
-24017/100000  -109473/250000
243023/1000000  -437617/1000000
411983/1000000  -56869/200000
-599385989/1339700000  59592573/267940000
-491573/1000000  80643/1000000
255439/1000000  -431631/1000000
-349487/1000000  71261/200000
-24777/50000  53169/1000000
472781/1000000  166353/1000000
3953/1000000  -49947/100000
-245791/500000  86997/1000000
-18363/62500  -403607/1000000
-228159/500000  202181/1000000
-325103247/932725000  1336231197/3730900000
17583/500000  124619/250000
465123/1000000  -188933/1000000
28953/500000  99369/200000
-24941/50000  -3191/1000000
48589/250000  461169/1000000
77413/250000  -393039/1000000
1151/50000  125001/250000
495819/1000000  -4491/62500
12159/25000  15153/125000
326371753/932725000  -1333768803/3730900000
319529/1000000  192721/500000
-434051/1000000  15417/62500
53451/250000  112859/250000
62669/125000  10057/1000000
93463/500000  -464147/1000000
913/100000  500421/1000000
-425149/1000000  10443/40000
-249077/500000  -15009/500000
-416661/1000000  275251/1000000
302364233/2006225000  3830198217/8024900000
-21777/50000  60769/250000
144049/1000000  -478753/1000000
-159727/1000000  -237011/500000
204177/1000000  457141/1000000
186311/500000  -334677/1000000
26111/200000  483061/1000000
-356441/1000000  2801/8000
29019/62500  -46631/250000
200047/500000  302071/1000000
18721073/56725000  85434877/226900000
-84269/1000000  -123193/250000
-117651/250000  -164987/1000000
-94437/200000  158693/1000000
85031/200000  -263603/1000000
-11529/200000  -99353/200000
298203/1000000  -402597/1000000
-244899/500000  9331/100000
-335467/1000000  -370567/1000000
100259/250000  -6029/20000
-1191799793/2860100000  197827111/715025000
-102497/500000  228087/500000
-169613/1000000  -469901/1000000
-239427/1000000  438257/1000000
-3339/15625  225759/500000
442903/1000000  117269/500000
-350969/1000000  -44223/125000
-135381/1000000  480703/1000000
-236093/1000000  55147/125000
86011/200000  -257357/1000000
1192200207/2860100000  -197197889/715025000
-251957/1000000  -431969/1000000
-33871/200000  -23503/50000
-250407/1000000  -215943/500000
13339/500000  249263/500000
237013/500000  82711/500000
-98853/200000  15671/250000
92281/200000  -97777/500000
-26779/500000  -248349/500000
-49749/100000  44267/1000000
389039219/1131700000  -102618013/282925000
220597/1000000  -89777/200000
-1687/1000000  99939/200000
-123469/250000  66437/1000000
44279/1000000  31083/62500
-115327/500000  -110603/250000
-206079/500000  281109/1000000
-107351/1000000  -243823/500000
17741/500000  -498783/1000000
-99397/200000  15319/500000
2351961147/7302100000  -697446769/1825525000
497619/1000000  -62177/1000000
-99521/500000  -28599/62500
-11591/50000  -110257/250000
491901/1000000  12641/125000
-19777/500000  -249021/500000
84249/1000000  493207/1000000
325971/1000000  381823/1000000
-59931/1000000  30943/62500
-131577/1000000  481123/1000000
-85285941/681700000  -65985183/136340000
-57771/200000  25449/62500
198399/500000  305753/1000000
501463/1000000  -209/200000
-111683/250000  -221531/1000000
-495383/1000000  -2639/50000
-203563/500000  4512/15625
384053/1000000  -160971/500000
-103701/1000000  -488599/1000000
-346773/1000000  357971/1000000
85654059/681700000  65998817/136340000
-371861/1000000  166261/500000
223349/500000  45777/200000
275801/1000000  417307/1000000
124987/250000  38093/1000000
-85591/250000  -363273/1000000
-48667/100000  53767/500000
84303/200000  -54093/200000
4231/200000  15607/31250
-215129/1000000  -226037/500000
-2583079809/8593300000  -686264067/1718660000
249291/500000  7417/125000
246457/500000  90873/1000000
-470851/1000000  -165257/1000000
20521/62500  378949/1000000
22819/50000  -104221/500000
-29863/250000  242541/500000
240461/500000  -71971/500000
-53289/500000  48787/100000
24277/250000  7654/15625
-2466053321/4987700000  72499877/997540000
49999/100000  -31203/1000000
-3971/10000  37681/125000
-6977/62500  -15189/31250
289859/1000000  102323/250000
-80079/500000  9457/20000
361093/1000000  -348031/1000000
5589/20000  -51977/125000
310101/1000000  -49341/125000
296343/1000000  -4037/10000
3385690563/6856100000  36158241/428506250
-248429/500000  49101/1000000
-124257/500000  -432373/1000000
292359/1000000  407123/1000000
-492489/1000000  -241/3125
-217817/500000  121357/500000
-453551/1000000  -103797/500000
120541/500000  -439233/1000000
-32497/125000  -213093/500000
-5469/12500  239983/1000000
-3374309437/6856100000  -35335509/428506250
76733/200000  -160941/500000
4284/15625  418371/1000000
42083/125000  74297/200000
-65343/250000  -425337/1000000
-36777/200000  -231717/500000
-185871/500000  66589/200000
471917/1000000  16799/100000
-109327/250000  59813/250000
-400003/1000000  298021/1000000
-519513197/1984100000  52877171/124006250
-6239/12500  14699/1000000
318707/1000000  386639/1000000
224989/1000000  223807/500000
12387/1000000  249679/500000
-26203/250000  -488659/1000000
-211951/500000  -131847/500000
99299/250000  -305339/1000000
225681/500000  108609/500000
4251/250000  250017/500000
-1080168173/4676900000  -64609693/146153125
458627/1000000  -50449/250000
52053/1000000  -498443/1000000
36631/250000  -119573/250000
-23101/125000  462779/1000000
-3351/200000  31253/62500
192207/500000  161639/500000
93451/1000000  -490631/1000000
15049/40000  -165507/500000
25723/100000  -430399/1000000
66478273/411081250  -1554743767/3288650000
-14593/31250  11081/62500
57/50000  -499587/1000000
-125449/500000  431737/1000000
-38041/1000000  -498347/1000000
-16787/500000  249251/500000
11/200000  -125063/250000
331321/1000000  37633/100000
-498113/1000000  -6023/1000000
500993/1000000  1551/250000
-66346727/411081250  1557506233/3288650000
-4397/40000  -97409/200000
108219/250000  252361/1000000
171201/500000  -36559/100000
4217/25000  -58891/125000
58831/125000  8637/50000
55913/1000000  -99391/200000
289987/1000000  407833/1000000
-215141/500000  -125013/500000
-498449/1000000  -4591/250000
-65076677/292253125  -2091036059/4676050000
320187/1000000  -385897/1000000
-35757/200000  -46557/100000
-312/3125  -245011/500000
82799/200000  141101/500000
-14201/125000  243173/500000
-25537/200000  -482623/1000000
-98463/200000  -38493/500000
458257/1000000  -206473/1000000
-7783/15625  -27513/1000000
-53021066/112478125  -298444147/1799650000
